scala.collection.Iterator$ConcatIterator::last_$eq(Lscala/collection/Iterator$ConcatIteratorCell;)V,1188
scala.collection.immutable.Map$Map1::repr()Ljava/lang/Object;,5044
scala/collection/mutable/ArrayOps::slice$(Lscala/collection/mutable/ArrayOps;II)Ljava/lang/Object;,8338
scala.collection.Iterator$$anon$10::reduce(Lscala/Function2;)Ljava/lang/Object;,1296
scala/collection/parallel/Task::tryMerge$(Lscala/collection/parallel/Task;Ljava/lang/Object;)V,51
scala.collection.SeqLike$$anon$1::addEntry0(Lscala/collection/mutable/HashEntry;I)V,2451
scala.collection.mutable.HashMap::toMap(Lscala/Predef$$less$colon$less;)Lscala/collection/immutable/Map;,20
scala.collection.immutable.Range::thisCollection()Lscala/collection/IndexedSeq;,40
scala/collection/SeqLike$CombinationsItr::$anonfun$init$6(Lscala/Tuple2;)I,16752
scala/collection/SetLike::map$(Lscala/collection/SetLike;Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object;,31915
scala.collection.immutable.Stream$Cons::toIterator()Lscala/collection/Iterator;,20
scala.collection.immutable.Set$Set4::contains(Ljava/lang/Object;)Z,31778
scala.collection.mutable.ListBuffer::newBuilder()Lscala/collection/mutable/Builder;,28074
scala.collection.mutable.HashSet$::setCanBuildFrom()Lscala/collection/generic/CanBuildFrom;,7
scala.collection.mutable.TreeMap$::empty(Lscala/math/Ordering;)Lscala/collection/mutable/TreeMap;,1
scala.collection.immutable.Vector::foreach(Lscala/Function1;)V,141952
scala.collection.mutable.WrappedArray$ofLong::apply$mcJI$sp(I)J,24
scala.collection.generic.ParFactory$GenericCanCombineFrom::apply(Lscala/collection/parallel/ParIterable;)Lscala/collection/parallel/Combiner;,10
scala.collection.immutable.MapLike$ImmutableDefaultKeySet::scala$collection$MapLike$DefaultKeySet$$$outer()Lscala/collection/MapLike;,9610
scala.collection.immutable.Vector::collectFirst(Lscala/PartialFunction;)Lscala/Option;,2020
scala.collection.immutable.Nil$::exists(Lscala/Function1;)Z,79420
scala.collection.mutable.WrappedArray$ofLong::apply(I)Ljava/lang/Object;,24
scala.collection.mutable.ArrayOps$ofByte::slice(II)Ljava/lang/Object;,1254
scala.collection.immutable.Stream$Empty$::distinct()Lscala/collection/immutable/Stream;,3
scala.collection.mutable.ArrayOps$ofRef::repr()[Ljava/lang/Object;,2184552
scala.collection.mutable.LinkedHashMap$DefaultKeySet::foreach(Lscala/Function1;)V,2994
scala.collection.immutable.Vector::filter(Lscala/Function1;)Ljava/lang/Object;,2124
scala.collection.immutable.Map$EmptyMap$::size()I,6687
scala.collection.immutable.StringOps::count(Lscala/Function1;)I,24
scala.collection.immutable.HashSet$HashTrieSet::repr()Lscala/collection/generic/Subtractable;,12
scala/collection/SeqLike$CombinationsItr::$anonfun$next$1(Lscala/collection/SeqLike$CombinationsItr;Lscala/collection/mutable/Builder;I)V,60783
scala.collection.mutable.LinkedHashSet::initialSize()I,844852
scala/collection/SeqLike::reverse$(Lscala/collection/SeqLike;)Ljava/lang/Object;,3
scala.collection.immutable.Set$Set3::filterImpl(Lscala/Function1;Z)Ljava/lang/Object;,920
scala.collection.IterableViewLike$$anon$6::scala$collection$TraversableViewLike$Filtered$$$outer()Lscala/collection/TraversableViewLike;,12
scala.collection.immutable.Vector::display2_$eq([Ljava/lang/Object;)V,47
scala.collection.convert.Wrappers$JListWrapper::to(Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object;,2
scala.collection.immutable.TreeMap::filterKeys(Lscala/Function1;)Lscala/collection/immutable/Map;,2
scala/collection/immutable/MapLike::$anonfun$$plus$plus$1(Lscala/collection/immutable/Map;Lscala/Tuple2;)Lscala/collection/immutable/Map;,55410
scala.collection.mutable.Map$::empty()Lscala/collection/Map;,874
scala.collection.immutable.Vector::splitAt(I)Lscala/Tuple2;,3
scala.collection.immutable.Map$Map1::$plus(Lscala/Tuple2;)Lscala/collection/GenMap;,34139
scala.collection.immutable.Range$Inclusive::longLength()J,5294
scala.collection.immutable.MapLike$ImmutableDefaultKeySet::isEmpty()Z,186
scala.collection.mutable.ArrayOps$ofLong::exists(Lscala/Function1;)Z,252
scala.collection.mutable.ArrayOps$ofInt::apply(I)Ljava/lang/Object;,37088
scala.sys.SystemProperties::apply(Ljava/lang/Object;)Ljava/lang/Object;,18
scala.collection.mutable.ArrayBuffer::reduceToSize(I)V,56576
scala.collection.mutable.TreeMap$::newBuilder(Lscala/math/Ordering;)Lscala/collection/mutable/Builder;,1
scala.collection.mutable.HashMap$$anon$2::to(Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object;,2118
scala.collection.immutable.Vector::companion()Lscala/collection/generic/GenericCompanion;,41597
scala/collection/mutable/FlatHashTable::initialSize$(Lscala/collection/mutable/FlatHashTable;)I,331518
scala/collection/convert/DecorateAsScala::asScalaIteratorConverter$(Lscala/collection/convert/DecorateAsScala;Ljava/util/Iterator;)Lscala/collection/convert/Decorators$AsScala;,6
scala.collection.concurrent.TrieMap::equalityobj()Lscala/math/Equiv;,783
scala.collection.immutable.Vector::canEqual(Ljava/lang/Object;)Z,300
scala.collection.immutable.Nil$::copyToArray(Ljava/lang/Object;I)V,215440
scala.collection.mutable.HashSet::genericBuilder()Lscala/collection/mutable/Builder;,162
scala.collection.immutable.$colon$colon::apply(Ljava/lang/Object;)Ljava/lang/Object;,4
scala/collection/immutable/StringLike::toDouble$(Lscala/collection/immutable/StringLike;)D,2
scala/collection/convert/AsScalaConverters::asScalaSet$(Lscala/collection/convert/AsScalaConverters;Ljava/util/Set;)Lscala/collection/mutable/Set;,9307
scala.collection.IterableView$::canBuildFrom()Lscala/collection/generic/CanBuildFrom;,67
scala.collection.immutable.$colon$colon::isEmpty()Z,41854322
scala.collection.JavaConverters$::setAsJavaSet(Lscala/collection/Set;)Ljava/util/Set;,16
scala.collection.immutable.HashSet$HashTrieSet::seq()Lscala/collection/TraversableOnce;,1449
