482457,scala.collection.immutable.Set$Set1::<init>()V
465268,scala.collection.LinearSeqLike$$anon$1::<init>()V
465268,scala.collection.LinearSeqLike$$anon$1::<init>(Lscala/collection/LinearSeqLike;)V
436872,scala/collection/mutable/SetLike::$init$(Lscala/collection/mutable/SetLike;)V
436872,scala/collection/mutable/Set::$init$(Lscala/collection/mutable/Set;)V
429275,scala.collection.immutable.HashMap$HashTrieMap::<init>(I[Lscala/collection/immutable/HashMap;I)V
386181,scala.collection.mutable.StringBuilder::<init>()V
368547,scala.collection.immutable.Range::<init>()V
368016,scala.collection.immutable.Map$Map1::<init>()V
363728,scala.collection.immutable.Map$Map2::<init>()V
358458,scala/collection/mutable/HashEntry::$init$(Lscala/collection/mutable/HashEntry;)V
349794,scala/collection/mutable/HashTable$HashUtils::$init$(Lscala/collection/mutable/HashTable$HashUtils;)V
349794,scala/collection/mutable/HashTable::$init$(Lscala/collection/mutable/HashTable;)V
335036,scala/collection/immutable/VectorPointer::$init$(Lscala/collection/immutable/VectorPointer;)V
332144,scala.collection.mutable.DefaultEntry::<init>(Ljava/lang/Object;Ljava/lang/Object;)V
325270,scala.collection.immutable.HashMap$HashMap1::<init>(Ljava/lang/Object;ILjava/lang/Object;Lscala/Tuple2;)V
304728,scala.collection.immutable.HashSet$HashTrieSet::<init>(I[Lscala/collection/immutable/HashSet;I)V
299552,scala.collection.immutable.Stream$Cons::<init>()V
299182,scala.collection.mutable.SetBuilder::<init>(Lscala/collection/Set;)V
272592,scala.collection.immutable.Vector::<init>()V
254899,scala/collection/immutable/IndexedSeq::$init$(Lscala/collection/immutable/IndexedSeq;)V
247893,scala/collection/immutable/StringLike::$init$(Lscala/collection/immutable/StringLike;)V
232080,scala.collection.immutable.Map$Map3::<init>()V
217367,scala.collection.mutable.MapBuilder::<init>(Lscala/collection/GenMap;)V
207460,scala.collection.convert.Wrappers$JListWrapper::<init>()V
201698,scala.collection.generic.GenSetFactory$$anon$1::<init>(Lscala/collection/generic/GenSetFactory;)V
188862,scala.collection.immutable.Set$Set2::<init>()V
188173,scala.collection.mutable.BitSet::<init>()V
180760,scala.collection.immutable.HashSet$HashSet1::<init>(Ljava/lang/Object;I)V
175178,scala.collection.Iterator$$anon$12::<init>(Lscala/collection/Iterator;Lscala/Function1;)V
175178,scala.collection.Iterator$$anon$12::<init>()V
171017,scala/collection/mutable/ResizableArray::$init$(Lscala/collection/mutable/ResizableArray;)V
170990,scala.collection.mutable.ArrayBuffer::<init>(I)V
165759,scala/collection/mutable/FlatHashTable::$init$(Lscala/collection/mutable/FlatHashTable;)V
165759,scala.collection.mutable.HashSet::<init>(Lscala/collection/mutable/FlatHashTable$Contents;)V
165759,scala/collection/mutable/FlatHashTable$HashUtils::$init$(Lscala/collection/mutable/FlatHashTable$HashUtils;)V
161172,scala.collection.mutable.Stack::<init>(Lscala/collection/immutable/List;)V
160819,scala.collection.immutable.Set$Set1::<init>(Ljava/lang/Object;)V
160604,scala.collection.immutable.Map$Map4::<init>()V
159005,scala/collection/mutable/MapLike::$init$(Lscala/collection/mutable/MapLike;)V
159005,scala/collection/mutable/Map::$init$(Lscala/collection/mutable/Map;)V
146688,scala.collection.immutable.StringOps::<init>(Ljava/lang/String;)V
145078,scala.collection.mutable.Stack$StackBuilder::<init>()V
141565,scala.collection.immutable.HashMap::<init>()V
126669,scala.collection.immutable.VectorIterator::<init>()V
126669,scala.collection.immutable.VectorIterator::<init>(II)V
125617,scala.collection.mutable.ArrayBuilder$ofRef::<init>(Lscala/reflect/ClassTag;)V
125617,scala.collection.mutable.ArrayBuilder$ofRef::<init>()V
122849,scala.collection.immutable.Range::<init>(III)V
117538,scala.collection.immutable.VectorBuilder::<init>()V
115487,scala.collection.mutable.HashMap::<init>(Lscala/collection/mutable/HashTable$Contents;)V
104151,scala.collection.TraversableLike$WithFilter::<init>(Lscala/collection/TraversableLike;Lscala/Function1;)V
92004,scala.collection.immutable.Map$Map1::<init>(Ljava/lang/Object;Ljava/lang/Object;)V
90932,scala.collection.immutable.Map$Map2::<init>(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V
90864,scala.collection.immutable.Vector::<init>(III)V
88852,scala.collection.mutable.AnyRefMap::<init>()V
84355,scala.collection.mutable.LinkedHashMap::<init>()V
77260,scala.collection.mutable.StringBuilder::<init>(Ljava/lang/StringBuilder;)V
77178,scala.collection.mutable.StringBuilder::<init>(ILjava/lang/String;)V
75129,scala.collection.immutable.MapLike$ImmutableDefaultKeySet::<init>()V
74888,scala.collection.immutable.Stream$Cons::<init>(Ljava/lang/Object;Lscala/Function0;)V
72087,scala.collection.immutable.WrappedString::<init>()V
70194,scala.collection.immutable.Set$Set3::<init>()V
62954,scala.collection.immutable.Set$Set2::<init>(Ljava/lang/Object;Ljava/lang/Object;)V
58020,scala.collection.immutable.Map$Map3::<init>(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V
54282,scala.collection.IndexedSeqLike$Elements::<init>()V
54282,scala.collection.IndexedSeqLike$Elements::<init>(Lscala/collection/IndexedSeqLike;II)V
54282,scala/collection/BufferedIterator::$init$(Lscala/collection/BufferedIterator;)V
52109,scala.collection.convert.Wrappers$JIteratorWrapper::<init>(Lscala/collection/convert/Wrappers;Ljava/util/Iterator;)V
52109,scala.collection.convert.Wrappers$JIteratorWrapper::<init>()V
51525,scala.collection.immutable.Range$Inclusive::<init>()V
51043,scala.collection.convert.Decorators$AsScala::<init>(Lscala/Function0;)V
50753,scala/collection/generic/Sorted::$init$(Lscala/collection/generic/Sorted;)V
50746,scala/collection/SortedSet::$init$(Lscala/collection/SortedSet;)V
50746,scala/collection/SortedSetLike::$init$(Lscala/collection/SortedSetLike;)V
50535,scala/collection/mutable/SortedSet::$init$(Lscala/collection/mutable/SortedSet;)V
47115,scala/collection/BitSetLike::$init$(Lscala/collection/BitSetLike;)V
47115,scala/collection/BitSet::$init$(Lscala/collection/BitSet;)V
47034,scala.collection.mutable.BitSet::<init>([J)V
47034,scala.collection.mutable.BitSet::<init>(I)V
43359,scala.collection.mutable.GrowingBuilder::<init>(Lscala/collection/generic/Growable;)V
41492,scala.collection.convert.Wrappers$JListWrapper::<init>(Lscala/collection/convert/Wrappers;Ljava/util/List;)V
