scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/tools/nsc/backend/jvm/BTypes$ClassBType::firstCommonSuffix,638
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/tools/nsc/transform/patmat/TreeAndTypeAnalysis$CheckableTreeAndTypeAnalysis::filterChildren$1,1600
scala/collection/immutable/List::toArray(Lscala/reflect/ClassTag;)Ljava/lang/Object; from xsbt/ExtractAPI::processDefinitions,2362
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/tools/nsc/typechecker/Infer$Inferencer::inferFor$1,610
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/tools/nsc/ast/TreeInfo::firstConstructor,35754
scala/collection/immutable/List::tail()Ljava/lang/Object; from scala/tools/nsc/PhaseAssembly::$anonfun$phasesSetToDepGraph$1,59
scala/collection/immutable/List::isEmpty()Z from scala/tools/nsc/typechecker/Typers$Typer::validateParentClass$1,3072
scala/collection/SeqLike::$plus$colon(Ljava/lang/Object;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/Defaults$::compileSettings$lzycompute,1
scala/collection/immutable/Vector::take(I)Lscala/collection/immutable/Vector; from sbt/internal/server/NetworkChannel$$anon$2::tillEndOfLine$1,3
scala/collection/generic/GenericTraversableTemplate::unzip(Lscala/Function1;)Lscala/Tuple2; from scala/tools/nsc/classpath/AggregateClassPath::list,153
scala/collection/mutable/HashMap::put(Ljava/lang/Object;Ljava/lang/Object;)Lscala/Option; from sbt/internal/inc/MixedAnalyzingCompiler$::$anonfun$staticCache$2,2
scala/collection/immutable/$colon$colon::tl$access$1()Lscala/collection/immutable/List; from scala/tools/nsc/typechecker/Implicits$ImplicitSearch$ImplicitComputation::findBest,879
scala/collection/mutable/HashMap::find(Lscala/Function1;)Lscala/Option; from scala/tools/nsc/transform/patmat/ScalaLogic$TreesAndTypesDomain$Const$::$anonfun$unique$1,4186
scala/collection/mutable/Builder::$plus$eq(Ljava/lang/Object;)Lscala/collection/mutable/Builder; from scala/reflect/internal/Symbols$Symbol::$anonfun$allOverriddenSymbols$2,8977
scala/collection/Iterable::flatMap(Lscala/Function1;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/internal/Load$::structureIndex,5
scala/collection/immutable/$colon$colon::head()Ljava/lang/Object; from scala/tools/nsc/typechecker/Typers$Typer::adapt,195
scala/collection/immutable/$colon$colon::<init>(Ljava/lang/Object;Lscala/collection/immutable/List;)V from scala/tools/nsc/ast/parser/Scanners::$init$,156
scala/collection/convert/Decorators$AsJava::asJava()Ljava/lang/Object; from sbt/internal/librarymanagement/IvySbt$::javaMap,10
scala/collection/immutable/List$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/backend/jvm/BCodeHelpers$BCForwardersGen::getExceptions,16695
scala/collection/immutable/List::head()Ljava/lang/Object; from scala/reflect/internal/tpe/TypeMaps$SubstMap::subst,1279674
scala/collection/immutable/List$::canBuildFrom()Lscala/collection/generic/CanBuildFrom; from scala/tools/nsc/transform/patmat/MatchTreeMaking$TreeMakers$AlternativesTreeMaker::chainBefore,25
scala/collection/Seq::flatten(Lscala/Function1;)Lscala/collection/GenTraversable; from sbt/internal/util/Init$Apply::$anonfun$validateKeyReferenced$4,30775
scala/collection/immutable/Vector::$plus$plus(Lscala/collection/GenTraversableOnce;Lscala/collection/generic/CanBuildFrom;)Ljava/lang/Object; from sbt/Defaults$::$anonfun$cleanFilesTask$1,2
